Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объем двигателя [см3]	Тип двигателя	Количество цилиндров	Тип КПП	Количество передач	Привод	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]	Расход топлива в городе на 100 км [л]
Mitsubishi	Седан	1660	162	116	1834	Бензиновый	4	Механика	5	Передний	60	10.2	200	8.7
Mitsubishi	Седан	1685	167	140	1834	Бензиновый	4	Механика	5	Передний	60	9.2	215	9
Mitsubishi	Седан	1630	174	125	1834	Бензиновый	4	Механика	5	Передний	60	9.4	205	8.6
Mitsubishi	Седан	1675	176	90	1870	Дизельный	4	Автомат	4	Передний	60	12	180	8
Mitsubishi	Седан	1675	176	90	1870	Дизельный	4	Механика	5	Передний	60	12	180	8
Mitsubishi	Хетчбэк	1685	137	100	1597	Бензиновый	4	Автомат	5	Передний	60	12.1	190	9.9
Mitsubishi	Хетчбэк	1630	137	90	1597	Бензиновый	4	Автомат	4	Передний	60	12	180	9.5
Mitsubishi	Хетчбэк	1685	137	100	1597	Бензиновый	4	Механика	5	Передний	60	12.1	190	9.9
Mitsubishi	Хетчбэк	1630	137	90	1597	Бензиновый	4	Механика	5	Передний	60	12	180	9.5
Mitsubishi	Хетчбэк	1660	162	116	1834	Бензиновый	4	Автомат	4	Передний	60	10.2	200	8.7
Mitsubishi	Хетчбэк	1660	174	125	1834	Бензиновый	4	Автомат	4	Передний	60	9.4	205	8.6
Mitsubishi	Хетчбэк	1660	162	116	1834	Бензиновый	4	Механика	5	Передний	60	10.2	200	8.7
Mitsubishi	Хетчбэк	1685	167	140	1834	Бензиновый	4	Механика	5	Передний	60	9.2	215	9
Mitsubishi	Хетчбэк	1660	174	125	1834	Бензиновый	4	Механика	5	Передний	60	9.4	205	8.6
Mitsubishi	Хетчбэк	1695	176	90	1870	Дизельный	4	Автомат	4	Передний	60	13.2	180	8
Mitsubishi	Хетчбэк	1695	176	90	1870	Дизельный	4	Механика	5	Передний	60	13.2	180	8
Mitsubishi	Седан	1675	120	82	1299	Бензиновый	4	Механика	5	Передний	60	14.1	175	8.4
Mitsubishi	Седан	1695	141	103	1597	Бензиновый	4	Автомат	4	Передний	60	12.4	185	10.1
Mitsubishi	Седан	1695	141	103	1597	Бензиновый	4	Механика	5	Передний	60	12.4	185	10.1
Mitsubishi	Седан	1725	174	122	1834	Бензиновый	4	Автомат	4	Передний	60	10.4	200	9.2
Mitsubishi	Седан	1725	174	122	1834	Бензиновый	4	Механика	5	Передний	60	10.4	200	9.2
Mitsubishi	Седан	1775	265	115	1870	Дизельный	4	Механика	5	Передний	60	10.4	195	7.3
Mitsubishi	Седан	1775	215	102	1870	Дизельный	4	Механика	5	Передний	60	11.9	190	7.1
